i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
55	27,34,29	0.10588235294117647	0.13333333333333333	0.11372549019607843	0.13333333333333333	0.10588235294117647	0.027450980392156862	137.14285714285714	2.3935944027350806
56	60,61,55	0.23529411764705882	0.23921568627450981	0.21568627450980393	0.23921568627450981	0.21568627450980393	0.023529411764705882	70.00000000000004	1.2217304763960315
57	28,26,25	0.10980392156862745	0.10196078431372549	0.09803921568627451	0.10980392156862745	0.09803921568627451	0.011764705882352941	20.0	0.3490658503988659
58	79,75,71	0.30980392156862746	0.29411764705882354	0.2784313725490196	0.30980392156862746	0.2784313725490196	0.03137254901960784	30.0	0.5235987755982988
59	83,84,82	0.3254901960784314	0.32941176470588235	0.3215686274509804	0.32941176470588235	0.3215686274509804	0.007843137254901933	90.0	1.5707963267948966
60	75,79,80	0.29411764705882354	0.30980392156862746	0.3137254901960784	0.3137254901960784	0.29411764705882354	0.019607843137254888	191.99999999999994	3.3510321638291116
61	43,36,34	0.16862745098039217	0.1411764705882353	0.13333333333333333	0.16862745098039217	0.13333333333333333	0.03529411764705884	13.333333333333327	0.23271056693257716
62	49,47,48	0.19215686274509805	0.1843137254901961	0.18823529411764706	0.19215686274509805	0.1843137254901961	0.00784313725490196	330.0000000000001	5.75958653158129
63	55,49,44	0.21568627450980393	0.19215686274509805	0.17254901960784313	0.21568627450980393	0.17254901960784313	0.0431372549019608	27.27272727272728	0.47599888690754455
64	47,40,35	0.1843137254901961	0.1568627450980392	0.13725490196078433	0.1843137254901961	0.13725490196078433	0.047058823529411764	24.999999999999982	0.43633231299858205
65	51,45,43	0.2	0.17647058823529413	0.16862745098039217	0.2	0.16862745098039217	0.03137254901960784	15.0	0.2617993877991494
66	48,43,39	0.18823529411764706	0.16862745098039217	0.15294117647058825	0.18823529411764706	0.15294117647058825	0.03529411764705881	26.66666666666668	0.46542113386515477
67	98,91,79	0.3843137254901961	0.3568627450980392	0.30980392156862746	0.3843137254901961	0.30980392156862746	0.07450980392156864	37.89473684210525	0.6613879270715353
