i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
54	54,52,39	0.21176470588235294	0.20392156862745098	0.15294117647058825	0.21176470588235294	0.15294117647058825	0.05882352941176469	51.99999999999999	0.9075712110370513
55	37,33,23	0.1450980392156863	0.12941176470588237	0.09019607843137255	0.1450980392156863	0.09019607843137255	0.05490196078431374	42.85714285714286	0.7479982508547127
56	40,35,25	0.1568627450980392	0.13725490196078433	0.09803921568627451	0.1568627450980392	0.09803921568627451	0.058823529411764705	40.000000000000014	0.698131700797732
57	63,52,36	0.24705882352941178	0.20392156862745098	0.1411764705882353	0.24705882352941178	0.1411764705882353	0.10588235294117648	35.55555555555556	0.6205615118202061
58	51,50,36	0.2	0.19607843137254902	0.1411764705882353	0.2	0.1411764705882353	0.05882352941176472	55.999999999999986	0.9773843811168244
59	20,33,33	0.0784313725490196	0.12941176470588237	0.12941176470588237	0.12941176470588237	0.0784313725490196	0.05098039215686276	180.0	3.141592653589793
60	31,35,34	0.12156862745098039	0.13725490196078433	0.13333333333333333	0.13725490196078433	0.12156862745098039	0.015686274509803935	164.99999999999994	2.8797932657906427
61	18,21,20	0.07058823529411765	0.08235294117647059	0.0784313725490196	0.08235294117647059	0.07058823529411765	0.011764705882352941	160.0	2.792526803190927
62	28,41,41	0.10980392156862745	0.1607843137254902	0.1607843137254902	0.1607843137254902	0.10980392156862745	0.05098039215686276	180.0	3.141592653589793
63	29,35,33	0.11372549019607843	0.13725490196078433	0.12941176470588237	0.13725490196078433	0.11372549019607843	0.023529411764705896	160.00000000000003	2.7925268031909276
64	37,48,49	0.1450980392156863	0.18823529411764706	0.19215686274509805	0.19215686274509805	0.1450980392156863	0.047058823529411764	185.0	3.2288591161895095
65	51,64,65	0.2	0.25098039215686274	0.2549019607843137	0.2549019607843137	0.2	0.0549019607843137	184.28571428571428	3.2163924786752642
66	79,93,90	0.30980392156862746	0.36470588235294116	0.35294117647058826	0.36470588235294116	0.30980392156862746	0.0549019607843137	167.1428571428572	2.91719317833338
