i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
54	18,15,18	0.07058823529411765	0.058823529411764705	0.07058823529411765	0.07058823529411765	0.058823529411764705	0.011764705882352941	300.0	5.235987755982989
55	171,178,142	0.6705882352941176	0.6980392156862745	0.5568627450980392	0.6980392156862745	0.5568627450980392	0.14117647058823524	71.66666666666669	1.250819297262603
56	200,196,173	0.7843137254901961	0.7686274509803922	0.6784313725490196	0.7843137254901961	0.6784313725490196	0.10588235294117643	51.111111111111136	0.8920571732415467
57	16,11,10	0.06274509803921569	0.043137254901960784	0.0392156862745098	0.06274509803921569	0.0392156862745098	0.023529411764705882	10.0	0.17453292519943295
58	84,72,63	0.32941176470588235	0.2823529411764706	0.24705882352941178	0.32941176470588235	0.24705882352941178	0.08235294117647057	25.714285714285708	0.4487989505128275
59	30,24,24	0.11764705882352941	0.09411764705882353	0.09411764705882353	0.11764705882352941	0.09411764705882353	0.023529411764705882	0.0	0.0
60	69,48,34	0.27058823529411763	0.18823529411764706	0.13333333333333333	0.27058823529411763	0.13333333333333333	0.1372549019607843	24.0	0.4188790204786391
61	132,90,61	0.5176470588235295	0.35294117647058826	0.23921568627450981	0.5176470588235295	0.23921568627450981	0.2784313725490196	24.507042253521128	0.42772857724931457
62	48,37,30	0.18823529411764706	0.1450980392156863	0.11764705882352941	0.18823529411764706	0.11764705882352941	0.07058823529411765	23.333333333333343	0.4072434921320104
63	83,63,48	0.3254901960784314	0.24705882352941178	0.18823529411764706	0.3254901960784314	0.18823529411764706	0.13725490196078433	25.714285714285715	0.4487989505128276
64	64,59,51	0.25098039215686274	0.23137254901960785	0.2	0.25098039215686274	0.2	0.05098039215686273	36.923076923076934	0.6444292622748296
65	59,43,35	0.23137254901960785	0.16862745098039217	0.13725490196078433	0.23137254901960785	0.13725490196078433	0.09411764705882353	20.0	0.3490658503988659
66	113,109,107	0.44313725490196076	0.42745098039215684	0.4196078431372549	0.44313725490196076	0.4196078431372549	0.023529411764705854	19.999999999999954	0.3490658503988651
