i	rgb	r	g	b	maxRGB	minRGB	c	h
118	146,126,111	146.0	126.0	111.0	146.0	111.0	35.0	25.7142857143
119	116,100,93	116.0	100.0	93.0	116.0	93.0	23.0	18.2608695652
120	103,86,81	103.0	86.0	81.0	103.0	81.0	22.0	13.6363636364
121	84,75,67	84.0	75.0	67.0	84.0	67.0	17.0	28.2352941176
122	88,80,74	88.0	80.0	74.0	88.0	74.0	14.0	25.7142857143
123	124,103,86	124.0	103.0	86.0	124.0	86.0	38.0	26.8421052632
124	43,85,101	43.0	85.0	101.0	101.0	43.0	58.0	196.551724138
125	44,31,35	44.0	31.0	35.0	44.0	31.0	13.0	341.538461538
126	26,29,31	26.0	29.0	31.0	31.0	26.0	5.0	204.0
127	75,77,81	75.0	77.0	81.0	81.0	75.0	6.0	220.0
128	91,73,64	91.0	73.0	64.0	91.0	64.0	27.0	20.0
129	96,82,74	96.0	82.0	74.0	96.0	74.0	22.0	21.8181818182
130	103,83,63	103.0	83.0	63.0	103.0	63.0	40.0	30.0
131	109,84,57	109.0	84.0	57.0	109.0	57.0	52.0	31.1538461538
132	97,75,58	97.0	75.0	58.0	97.0	58.0	39.0	26.1538461538
133	102,87,70	102.0	87.0	70.0	102.0	70.0	32.0	31.875
134	113,93,73	113.0	93.0	73.0	113.0	73.0	40.0	30.0
135	132,114,104	132.0	114.0	104.0	132.0	104.0	28.0	21.4285714286
136	101,86,67	101.0	86.0	67.0	101.0	67.0	34.0	33.5294117647
137	120,93,77	120.0	93.0	77.0	120.0	77.0	43.0	22.3255813953
138	98,72,58	98.0	72.0	58.0	98.0	58.0	40.0	21.0
139	119,97,80	119.0	97.0	80.0	119.0	80.0	39.0	26.1538461538
140	111,88,76	111.0	88.0	76.0	111.0	76.0	35.0	20.5714285714
141	88,73,64	88.0	73.0	64.0	88.0	64.0	24.0	22.5
142	105,80,53	105.0	80.0	53.0	105.0	53.0	52.0	31.1538461538
143	92,76,69	92.0	76.0	69.0	92.0	69.0	23.0	18.2608695652
144	118,98,82	118.0	98.0	82.0	118.0	82.0	36.0	26.6666666667
145	106,84,73	106.0	84.0	73.0	106.0	73.0	33.0	20.0
146	128,107,88	128.0	107.0	88.0	128.0	88.0	40.0	28.5
147	118,98,83	118.0	98.0	83.0	118.0	83.0	35.0	25.7142857143
148	110,91,80	110.0	91.0	80.0	110.0	80.0	30.0	22.0
149	109,91,75	109.0	91.0	75.0	109.0	75.0	34.0	28.2352941176
150	111,92,83	111.0	92.0	83.0	111.0	83.0	28.0	19.2857142857
151	23,21,23	23.0	21.0	23.0	23.0	21.0	2.0	300.0
152	13,12,14	13.0	12.0	14.0	14.0	12.0	2.0	270.0
153	30,19,16	30.0	19.0	16.0	30.0	16.0	14.0	12.8571428571
154	23,15,14	23.0	15.0	14.0	23.0	14.0	9.0	6.66666666667
155	18,12,12	18.0	12.0	12.0	18.0	12.0	6.0	0.0
156	59,36,25	59.0	36.0	25.0	59.0	25.0	34.0	19.4117647059
157	71,43,27	71.0	43.0	27.0	71.0	27.0	44.0	21.8181818182
158	62,38,28	62.0	38.0	28.0	62.0	28.0	34.0	17.6470588235
159	15,10,9	15.0	10.0	9.0	15.0	9.0	6.0	10.0
160	19,13,11	19.0	13.0	11.0	19.0	11.0	8.0	15.0
161	54,29,18	54.0	29.0	18.0	54.0	18.0	36.0	18.3333333333
162	28,18,14	28.0	18.0	14.0	28.0	14.0	14.0	17.1428571429
163	61,35,21	61.0	35.0	21.0	61.0	21.0	40.0	21.0
164	12,12,12	12.0	12.0	12.0	12.0	12.0	0.0	0.0
165	19,13,9	19.0	13.0	9.0	19.0	9.0	10.0	24.0
166	162,81,26	162.0	81.0	26.0	162.0	26.0	136.0	24.2647058824
167	16,13,16	16.0	13.0	16.0	16.0	13.0	3.0	300.0
168	13,11,12	13.0	11.0	12.0	13.0	11.0	2.0	330.0
169	17,14,15	17.0	14.0	15.0	17.0	14.0	3.0	340.0
170	28,23,19	28.0	23.0	19.0	28.0	19.0	9.0	26.6666666667
171	25,14,10	25.0	14.0	10.0	25.0	10.0	15.0	16.0
172	38,19,12	38.0	19.0	12.0	38.0	12.0	26.0	16.1538461538
173	62,27,11	62.0	27.0	11.0	62.0	11.0	51.0	18.8235294118
174	32,17,13	32.0	17.0	13.0	32.0	13.0	19.0	12.6315789474
