i	rgb	r	g	b	maxRGB	minRGB	c	h
112	113,116,106	113.0	116.0	106.0	116.0	106.0	10.0	78.0
113	113,119,111	113.0	119.0	111.0	119.0	111.0	8.0	105.0
114	42,38,27	42.0	38.0	27.0	42.0	27.0	15.0	44.0
115	43,39,26	43.0	39.0	26.0	43.0	26.0	17.0	45.8823529412
116	46,42,28	46.0	42.0	28.0	46.0	28.0	18.0	46.6666666667
117	42,37,26	42.0	37.0	26.0	42.0	26.0	16.0	41.25
118	60,52,37	60.0	52.0	37.0	60.0	37.0	23.0	39.1304347826
119	42,37,25	42.0	37.0	25.0	42.0	25.0	17.0	42.3529411765
120	51,45,33	51.0	45.0	33.0	51.0	33.0	18.0	40.0
121	50,41,29	50.0	41.0	29.0	50.0	29.0	21.0	34.2857142857
122	51,47,34	51.0	47.0	34.0	51.0	34.0	17.0	45.8823529412
123	60,52,41	60.0	52.0	41.0	60.0	41.0	19.0	34.7368421053
124	40,36,26	40.0	36.0	26.0	40.0	26.0	14.0	42.8571428571
125	55,48,38	55.0	48.0	38.0	55.0	38.0	17.0	35.2941176471
126	45,39,28	45.0	39.0	28.0	45.0	28.0	17.0	38.8235294118
127	52,44,32	52.0	44.0	32.0	52.0	32.0	20.0	36.0
128	53,47,36	53.0	47.0	36.0	53.0	36.0	17.0	38.8235294118
129	47,42,30	47.0	42.0	30.0	47.0	30.0	17.0	42.3529411765
130	54,46,33	54.0	46.0	33.0	54.0	33.0	21.0	37.1428571429
131	56,51,33	56.0	51.0	33.0	56.0	33.0	23.0	46.9565217391
132	37,36,26	37.0	36.0	26.0	37.0	26.0	11.0	54.5454545455
133	99,115,112	99.0	115.0	112.0	115.0	99.0	16.0	168.75
134	55,57,48	55.0	57.0	48.0	57.0	48.0	9.0	73.3333333333
135	120,91,52	120.0	91.0	52.0	120.0	52.0	68.0	34.4117647059
136	114,80,41	114.0	80.0	41.0	114.0	41.0	73.0	32.0547945205
137	122,87,53	122.0	87.0	53.0	122.0	53.0	69.0	29.5652173913
138	96,69,35	96.0	69.0	35.0	96.0	35.0	61.0	33.4426229508
139	120,86,42	120.0	86.0	42.0	120.0	42.0	78.0	33.8461538462
140	100,68,37	100.0	68.0	37.0	100.0	37.0	63.0	29.5238095238
141	98,66,41	98.0	66.0	41.0	98.0	41.0	57.0	26.3157894737
142	95,71,44	95.0	71.0	44.0	95.0	44.0	51.0	31.7647058824
143	87,81,61	87.0	81.0	61.0	87.0	61.0	26.0	46.1538461538
144	87,83,62	87.0	83.0	62.0	87.0	62.0	25.0	50.4
145	78,66,44	78.0	66.0	44.0	78.0	44.0	34.0	38.8235294118
146	92,92,74	92.0	92.0	74.0	92.0	74.0	18.0	60.0
147	84,81,65	84.0	81.0	65.0	84.0	65.0	19.0	50.5263157895
148	83,76,56	83.0	76.0	56.0	83.0	56.0	27.0	44.4444444444
149	96,92,62	96.0	92.0	62.0	96.0	62.0	34.0	52.9411764706
150	71,71,40	71.0	71.0	40.0	71.0	40.0	31.0	60.0
151	46,40,27	46.0	40.0	27.0	46.0	27.0	19.0	41.0526315789
152	64,64,53	64.0	64.0	53.0	64.0	53.0	11.0	60.0
153	57,58,47	57.0	58.0	47.0	58.0	47.0	11.0	65.4545454545
154	51,59,49	51.0	59.0	49.0	59.0	49.0	10.0	108.0
155	59,58,47	59.0	58.0	47.0	59.0	47.0	12.0	55.0
156	93,80,60	93.0	80.0	60.0	93.0	60.0	33.0	36.3636363636
157	87,95,89	87.0	95.0	89.0	95.0	87.0	8.0	135.0
158	87,95,90	87.0	95.0	90.0	95.0	87.0	8.0	142.5
159	82,80,64	82.0	80.0	64.0	82.0	64.0	18.0	53.3333333333
160	96,86,63	96.0	86.0	63.0	96.0	63.0	33.0	41.8181818182
161	99,90,68	99.0	90.0	68.0	99.0	68.0	31.0	42.5806451613
162	98,89,68	98.0	89.0	68.0	98.0	68.0	30.0	42.0
163	55,54,43	55.0	54.0	43.0	55.0	43.0	12.0	55.0
164	37,41,33	37.0	41.0	33.0	41.0	33.0	8.0	90.0
