i	rgb	r	g	b	maxRGB	minRGB	c	h
218	40,34,24	40.0	34.0	24.0	40.0	24.0	16.0	37.5
219	44,38,27	44.0	38.0	27.0	44.0	27.0	17.0	38.8235294118
220	36,30,19	36.0	30.0	19.0	36.0	19.0	17.0	38.8235294118
221	41,36,24	41.0	36.0	24.0	41.0	24.0	17.0	42.3529411765
222	44,38,26	44.0	38.0	26.0	44.0	26.0	18.0	40.0
223	37,32,21	37.0	32.0	21.0	37.0	21.0	16.0	41.25
224	39,32,20	39.0	32.0	20.0	39.0	20.0	19.0	37.8947368421
225	32,26,17	32.0	26.0	17.0	32.0	17.0	15.0	36.0
226	12,12,9	12.0	12.0	9.0	12.0	9.0	3.0	60.0
227	14,13,10	14.0	13.0	10.0	14.0	10.0	4.0	45.0
228	15,15,11	15.0	15.0	11.0	15.0	11.0	4.0	60.0
229	18,17,13	18.0	17.0	13.0	18.0	13.0	5.0	48.0
230	13,13,10	13.0	13.0	10.0	13.0	10.0	3.0	60.0
231	17,16,12	17.0	16.0	12.0	17.0	12.0	5.0	48.0
232	15,15,11	15.0	15.0	11.0	15.0	11.0	4.0	60.0
233	18,17,13	18.0	17.0	13.0	18.0	13.0	5.0	48.0
234	13,12,9	13.0	12.0	9.0	13.0	9.0	4.0	45.0
235	9,9,7	9.0	9.0	7.0	9.0	7.0	2.0	60.0
236	10,9,8	10.0	9.0	8.0	10.0	8.0	2.0	30.0
237	10,9,7	10.0	9.0	7.0	10.0	7.0	3.0	40.0
238	15,15,10	15.0	15.0	10.0	15.0	10.0	5.0	60.0
239	13,13,10	13.0	13.0	10.0	13.0	10.0	3.0	60.0
240	27,25,19	27.0	25.0	19.0	27.0	19.0	8.0	45.0
241	30,27,22	30.0	27.0	22.0	30.0	22.0	8.0	37.5
242	17,15,12	17.0	15.0	12.0	17.0	12.0	5.0	36.0
243	28,24,16	28.0	24.0	16.0	28.0	16.0	12.0	40.0
244	19,16,11	19.0	16.0	11.0	19.0	11.0	8.0	37.5
245	27,23,17	27.0	23.0	17.0	27.0	17.0	10.0	36.0
246	22,19,12	22.0	19.0	12.0	22.0	12.0	10.0	42.0
247	14,12,8	14.0	12.0	8.0	14.0	8.0	6.0	40.0
248	19,17,11	19.0	17.0	11.0	19.0	11.0	8.0	45.0
249	19,16,10	19.0	16.0	10.0	19.0	10.0	9.0	40.0
250	21,19,12	21.0	19.0	12.0	21.0	12.0	9.0	46.6666666667
251	23,20,13	23.0	20.0	13.0	23.0	13.0	10.0	42.0
252	23,19,12	23.0	19.0	12.0	23.0	12.0	11.0	38.1818181818
253	20,17,11	20.0	17.0	11.0	20.0	11.0	9.0	40.0
254	21,17,11	21.0	17.0	11.0	21.0	11.0	10.0	36.0
255	20,18,12	20.0	18.0	12.0	20.0	12.0	8.0	45.0
256	33,29,20	33.0	29.0	20.0	33.0	20.0	13.0	41.5384615385
