i	rgb	r	g	b	maxRGB	minRGB	c	h
246	27,25,21	27.0	25.0	21.0	27.0	21.0	6.0	40.0
247	26,23,17	26.0	23.0	17.0	26.0	17.0	9.0	40.0
248	21,19,16	21.0	19.0	16.0	21.0	16.0	5.0	36.0
249	1,2,2	1.0	2.0	2.0	2.0	1.0	1.0	180.0
250	78,71,63	78.0	71.0	63.0	78.0	63.0	15.0	32.0
251	90,85,79	90.0	85.0	79.0	90.0	79.0	11.0	32.7272727273
252	75,61,53	75.0	61.0	53.0	75.0	53.0	22.0	21.8181818182
253	91,74,63	91.0	74.0	63.0	91.0	63.0	28.0	23.5714285714
254	27,24,22	27.0	24.0	22.0	27.0	22.0	5.0	24.0
255	77,72,69	77.0	72.0	69.0	77.0	69.0	8.0	22.5
256	66,60,55	66.0	60.0	55.0	66.0	55.0	11.0	27.2727272727
257	65,58,59	65.0	58.0	59.0	65.0	58.0	7.0	351.428571429
258	61,60,60	61.0	60.0	60.0	61.0	60.0	1.0	0.0
259	69,66,64	69.0	66.0	64.0	69.0	64.0	5.0	24.0
260	82,77,76	82.0	77.0	76.0	82.0	76.0	6.0	10.0
261	86,80,78	86.0	80.0	78.0	86.0	78.0	8.0	15.0
262	46,43,42	46.0	43.0	42.0	46.0	42.0	4.0	15.0
263	96,95,103	96.0	95.0	103.0	103.0	95.0	8.0	247.5
264	32,27,21	32.0	27.0	21.0	32.0	21.0	11.0	32.7272727273
265	30,26,21	30.0	26.0	21.0	30.0	21.0	9.0	33.3333333333
266	26,21,17	26.0	21.0	17.0	26.0	17.0	9.0	26.6666666667
267	29,23,19	29.0	23.0	19.0	29.0	19.0	10.0	24.0
268	56,59,42	56.0	59.0	42.0	59.0	42.0	17.0	70.5882352941
269	29,23,20	29.0	23.0	20.0	29.0	20.0	9.0	20.0
270	44,30,16	44.0	30.0	16.0	44.0	16.0	28.0	30.0
271	34,33,29	34.0	33.0	29.0	34.0	29.0	5.0	48.0
272	41,42,38	41.0	42.0	38.0	42.0	38.0	4.0	75.0
273	24,23,20	24.0	23.0	20.0	24.0	20.0	4.0	45.0
274	45,46,42	45.0	46.0	42.0	46.0	42.0	4.0	75.0
275	23,23,19	23.0	23.0	19.0	23.0	19.0	4.0	60.0
276	44,16,7	44.0	16.0	7.0	44.0	7.0	37.0	14.5945945946
277	71,58,126	71.0	58.0	126.0	126.0	58.0	68.0	251.470588235
278	48,21,17	48.0	21.0	17.0	48.0	17.0	31.0	7.74193548387
279	32,23,67	32.0	23.0	67.0	67.0	23.0	44.0	252.272727273
280	49,34,25	49.0	34.0	25.0	49.0	25.0	24.0	22.5
281	40,28,14	40.0	28.0	14.0	40.0	14.0	26.0	32.3076923077
282	70,54,40	70.0	54.0	40.0	70.0	40.0	30.0	28.0
283	115,111,111	115.0	111.0	111.0	115.0	111.0	4.0	0.0
284	54,41,29	54.0	41.0	29.0	54.0	29.0	25.0	28.8
285	1,1,1	1.0	1.0	1.0	1.0	1.0	0.0	0.0
